mag,totalSamplesMag,gMedianOfSD,gSDofSD,gMeanOfSD,gUsedSamplesMag,gMeanSamplesLC,rMedianOfSD,rSDofSD,rMeanOfSD,rUsedSamplesMag,rMeanSamplesLC
12.0,4.0,0.021906294903581848,0.07634581322869598,0.06255253507374718,4.0,82.75,0.006104404872973634,0.006480040207061802,0.006460447951748445,2.0,167.0
12.0,4.0,0.021906294903581848,0.07634581322869598,0.06255253507374718,4.0,82.75,0.006104404872973634,0.006480040207061802,0.006460447951748445,2.0,167.0
12.5,88.0,0.02868758182658905,0.014756575490184127,0.031666284187340445,86.0,253.5,0.033775149391533296,0.011516582663650993,0.024760649361505384,10.0,295.2
12.5,88.0,0.02868758182658905,0.014756575490184127,0.031666284187340445,86.0,253.5,0.033775149391533296,0.011516582663650993,0.024760649361505384,10.0,295.2
12.75,164.0,0.02098127324233592,0.008130066676446309,0.02298728483832436,159.0,266.55345911949684,0.033528968372092516,0.018408896167451023,0.033483965291898884,32.0,295.5
12.75,164.0,0.02098127324233592,0.008130066676446309,0.02298728483832436,159.0,266.55345911949684,0.033528968372092516,0.018408896167451023,0.033483965291898884,32.0,295.5
13.0,187.0,0.01754700012416688,0.005882555134484595,0.018753847355393313,182.0,242.9945054945055,0.02881015478551045,0.015303780934767216,0.030973625130977296,61.0,256.21311475409834
13.0,187.0,0.01754700012416688,0.005882555134484595,0.018753847355393313,182.0,242.9945054945055,0.02881015478551045,0.015303780934767216,0.030973625130977296,61.0,256.21311475409834
13.25,183.0,0.01646927004484798,0.005366221888972459,0.017430266776580775,177.0,194.15254237288136,0.022445336477281277,0.014729994358728517,0.027942366275083553,120.0,223.96666666666667
13.25,183.0,0.01646927004484798,0.005366221888972459,0.017430266776580775,177.0,194.15254237288136,0.022445336477281277,0.014729994358728517,0.027942366275083553,120.0,223.96666666666667
13.5,193.0,0.015789316561998536,0.0051584649614514755,0.016755632058287274,187.0,249.4331550802139,0.018355777587376092,0.013696266091515632,0.02390330716410131,167.0,291.688622754491
13.5,193.0,0.015789316561998536,0.0051584649614514755,0.016755632058287274,187.0,249.4331550802139,0.018355777587376092,0.013696266091515632,0.02390330716410131,167.0,291.688622754491
